id_product_abstract,abstract_sku,url
2,M1000785,en/holz-schalenstuhl-gepolstert-ve-4-stk-gestell-verchromt-M1000785
1,C2235,en/schomburg-stehpult-hxbxt-1094-x-600-x-500-mm-C2235
3,M1000786,en/hsm-aktenvernichter-securio-fuer-schreibtisch-25-l-300-watt-M1000786
4,M1000838,en/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-1800-watt-M1000838
5,M1000839,en/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-2100-watt-M1000839
6,M1000840,en/hsm-aktenvernichter-securio-fuer-grossraumbuero-205-l-M1000840
7,M1002203,en/mauser-universal-stahlschrank-mit-fluegeltueren-hxbxt-1850-x-800-x-420-mm-M1002203
8,M1006484,en/hsm-aktenvernichter-securio-fuer-schreibtisch-25-l-400-watt-M1006484
9,M1006811,en/besucherstuhl-stapelbar-rueckenlehne-gepolstert-gestell-verchromt-M1006811
10,M1006871,en/office-akktiv-unterschrank-hxbxt-942-x-913-x-420-mm-M1006871
11,M1013168,en/magnetoplan-flipchart-junior-plus-schreibflaeche-680-x-980-mm-magnethaftend-M1013168
12,M1013287,en/rednerpult-hoehenverstellbar-mobil-mit-4-rollen-M1013287
13,M1013541,en/rednerpult-universell-mit-ablageboden-M1013541
14,M1014496,en/cp-stahlschrank-feuergeschuetzt-2-fachboeden-verstellbar-breite-1200-mm-M1014496
15,M1014502,en/cp-stahlschrank-feuergeschuetzt-3-fachboeden-verstellbar-1-schliessfach-breite-1200-mm-M1014502
16,M1014629,en/eurokraft-paletthubwagen-mit-quicklift-blau-raeder-polyurethan-M1014629
17,M1014642,en/toyota-paletthubwagen-von-toyota-bt-lifter-M1014642
18,M1014643,en/toyota-paletthubwagen-von-toyota-bt-lifter-mit-quicklift-hydraulikeinheit-M1014643
19,M1014644,en/toyota-paletthubwagen-von-toyota-bt-lifter-silent-M1014644
20,M1014645,en/paletthubwagen-verzinkt-M1014645
21,M1014646,en/paletthubwagen-v2a-edelstahl-M1014646
22,M1014653,en/quipo-paletthubwagen-melonengelb-tragfaehigkeit-3000-kg-M1014653
23,M1014656,en/paletthubwagen-mit-waage-tragfaehigkeit-2000-kg-M1014656
24,M1014866,en/holz-schalenstuhl-ve-2-stk-buche-natur-rund-mit-polster-M1014866
25,M1014870,en/holz-schalenstuhl-ve-2-stk-buche-schwarz-eckig-mit-polster-M1014870
26,M1014871,en/holz-schalenstuhl-ve-2-stk-buche-natur-griffschlitz-mit-polster-M1014871
27,M1014874,en/holz-schalenstuhl-ve-2-stk-buche-schwarz-rund-mit-polster-M1014874
28,M1014948,en/flipchart-fuer-doppel-schienensystem-M1014948
29,M1015355,en/quipo-paletthubwagen-gelb-lenkraeder-polyurethan-M1015355
30,M1015356,en/quipo-paletthubwagen-gelb-lenkraeder-vollgummi-M1015356
31,M1016129,en/rednerstativ-forum-2-glasplatten-M1016129
32,M1017902,en/upliner-stehschreibtisch-elektrisch-ohne-traverse-bxt-1600-x-800-mm-M1017902
33,M1017905,en/upliner-stehschreibtisch-elektrisch-ohne-traverse-bxt-1800-x-800-mm-M1017905
34,M1017945,en/petra-aktenschrank-hxbxt-1851-x-800-x-362-mm-M1017945
35,M1018211,en/mauser-universalschrank-extrahoch-hxbxt-2200-x-950-x-420-mm-M1018211
36,M1018212,en/cp-buero-stahlschrank-mit-fluegeltueren-hxb-1950-x-1200-mm-M1018212
37,M1022632,en/schreibtisch-arcos-bxt-1800-x-800-mm-M1022632
38,M1022640,en/fluegeltuerenschrank-arcos-4-fachboeden-hxbxt-1950-x-950-x-420-mm-M1022640
39,M1022643,en/schiebetuerenschrank-arcos-2-fachboeden-hxbxt-1240-x-1200-x-420-mm-M1022643
40,M1024601,en/quipo-paletthubwagen-gelb-lastrollen-nylon-pa-M1024601
41,M1024684,en/mauser-schiebetuerschrank-mit-glasfront-4-fachboeden-M1024684
42,M1024689,en/mauser-schiebetuerschrank-mit-glasfront-8-fachboeden-mitteltrennwand-M1024689
43,M1028038,en/clubsessel-bezug-aus-softex-M1028038
44,M1028049,en/polster-stapelstuhl-sitz-hxbxt-460-x-450-x-420-mm-ve-2-stk-M1028049
45,M1028061,en/polster-stapelstuhl-vierfussgestell-ve-2-stk-M1028061
46,M1028062,en/polster-stapelstuhl-freischwinger-ve-2-stk-M1028062
47,M1028095,en/ideal-aktenvernichter-klein-shredcat-auffangvolumen-18-l-M1028095
48,M1028375,en/upliner-2-0-stehschreibtisch-t-fuss-gestell-breite-1200-mm-M1028375
49,M1028376,en/upliner-2-0-stehschreibtisch-t-fuss-gestell-breite-1600-mm-M1028376
50,M1028483,en/bisley-universal-fluegeltuerenschrank-garderobeneinsatz-M1028483
51,M1028702,en/paletthubwagen-extra-nieder-M1028702
52,M1030133,en/kunststoffschalenstuhl-gestell-verchromt-M1030133
53,M1031236,en/magnetoplan-flipchart-de-luxe-mobil-M1031236
54,M1031238,en/magnetoplan-flipchart-junior-sp-magnethaftend-M1031238
55,M10569,en/topstar-chefsessel-leder-schwarz-M10569
56,M10577,en/topstar-standard-drehstuhl-ohne-armlehnen-rueckenlehne-450-mm-M10577
57,M1079219,en/ideal-aktenvernichter-gross-shredcat-auffangvolumen-30-l-M1079219
58,M1079221,en/ideal-schreibtisch-aktenvernichter-easy-touch-professionelle-ausstattung-hoehe-428-mm-M1079221
59,M1079222,en/ideal-schreibtisch-aktenvernichter-easy-touch-komfortable-ausstattung-hoehe-516-mm-M1079222
60,M1079243,en/rednerpult-2-ablagen-front-aus-stahlblech-M1079243
61,M1080190,en/topstar-polster-stapelstuhl-ve-2-stk-freischwinger-M1080190
62,M10871,en/konferenzstuhl-stapelstuhl-gestell-schwarz-M10871
63,M10872,en/konferenzstuhl-stapelstuhl-gestell-verchromt-M10872
64,M111,en/estucado-polsterstuhl-mit-armlehnen-leder-weiss-M111
65,M11222,en/flip-chart-standmodell-mit-seitenarmen-M11222
66,M11306,en/topstar-bandscheibendrehstuhl-ohne-armlehnen-M11306
67,M11473,en/topstar-standard-drehstuhl-ohne-armlehnen-rueckenlehne-550-mm-M11473
68,M11480,en/topstar-bandscheiben-drehstuhl-synchronmechanik-bandscheibensitz-bezug-100-polyacryl-M11480
69,M11542,en/holz-schalenstuhl-4-fuss-gestell-sitz-gepolstert-M11542
70,M12655,en/quipo-universal-stahlschrank-mit-fluegeltueren-hxbxt-1950-x-950-x-420-mm-M12655
71,M12656,en/quipo-universal-stahlschrank-mit-fluegeltueren-hxbxt-1950-x-950-x-420-mm-M12656
72,M14054,en/mauser-stahlschrank-mit-fluegeltueren-4-fachboeden-breite-1200-mm-M14054
73,M15127,en/mauser-stahlschrank-mit-fluegeltueren-2-fachboeden-hoehe-1016-mm-M15127
74,M15226,en/rednerpult-2-ablagen-front-aus-stoff-M15226
75,M1896,en/wolf-garderobe-lichtgrau-ral-7035-M1896
76,M21062,en/post-it-haftstreifen-index-mini-35blatt-sortiert-4-M21062
77,M21066,en/post-it-haftstreifen-index-standard-25-4x43-2mm-50blatt-pes-M21066
78,M21067,en/post-it-haftstreifen-index-symbol-680-31-25-4x43-2mm-50blatt-gelb-M21067
79,M21073,en/post-it-haftstreifen-index-strong-22blatt-sortiert-3-st-pack-M21073
80,M21090,en/verbatim-speicherkarte-sdhc-card-class-10-M21090
81,M21091,en/verbatim-speicherkarte-sdxc-card-44024-64gb-class10-M21091
82,M21092,en/verbatim-speicherkarte-micosdhc-class-10-M21092
83,M21093,en/verbatim-speicherkarte-micosdxc-44084-class-10-64gb-adapter-M21093
84,M21094,en/verbatim-ssd-festplatte-1-8zoll-usb-3-0-schwarz-M21094
85,M21097,en/verbatim-usb-stick-pin-stripe-schwarz-M21097
86,M21099,en/verbatim-usb-stick-store-n-go-v3-49172-16gb-usb3-0-grau-M21099
87,M21100,en/verbatim-usb-stick-store-n-go-v3-49173-32gb-usb3-0-grau-M21100
88,M21101,en/verbatim-usb-stick-storen-go-v3-49174-64gb-usb3-0-schwarz-grau-M21101
89,M21103,en/verbatim-usb-stick-otg-M21103
90,M21104,en/verbatim-festplatte-store-n-go-53071-1tb-usb3-0-silber-M21104
91,M21105,en/verbatim-kartenleser-97706-card-reader-universal-usb-3-0-M21105
92,M21189,en/post-it-haftnotiz-super-sticky-meeting-notes-4-st-pack-M21189
93,M21190,en/post-it-haftstreifen-index-strong-686-f1eu-4blatt-sortiert-4-st-pack-M21190
94,M21191,en/post-it-haftstreifen-index-standard-20blatt-farbig-3-st-pack-M21191
95,M21193,en/post-it-heftstreifen-index-mini-promotion-683-vad1-farbig-2-684-M21193
96,M21194,en/post-it-haftstreifen-index-strong-3x22-st-pack-M21194
97,M21195,en/post-it-haftstreifen-page-marker-670-10ab-12-7x44-4mm-10-st-pack-M21195
98,M21196,en/post-it-haftnotiz-super-sticky-sortiert-6-st-pack-M21196
99,M21197,en/post-it-haftnotiz-super-sticky-62212se-sortiert-12-st-pack-M21197
100,M21200,en/post-it-haftstreifen-index-2-M21200
101,M21201,en/post-it-haftstreifen-index-strong-686-ploy-6blatt-sortiert-4-st-pack-M21201
102,M21202,en/post-it-haftnotiz-z-notes-r3306sj-76x76mm-90bl-rt-gn-bl-6-st-pack-M21202
103,M21203,en/post-it-haftnotiz-super-sticky-bangkok-coll-r3306se-6-st-pack-M21203
104,M21205,en/post-it-haftnotiz-super-sticky-6910ypog-48x48mm-sort-4-st-pack-M21205
105,M21296,en/sandisk-speicherkarte-sdhc-M21296
106,M21299,en/sandisk-usb-stick-ultra-usb3-0-sw-M21299
107,M213,en/mauser-stahlschrank-mit-fluegeltueren-4-fachboeden-t-420-mm-M213
108,M21635,en/oxford-collegeblock-international-organizerbook-100102777-kariert-M21635
109,M21636,en/oxford-kladde-100100570-din-a4-kariert-96blatt-sortiert-M21636
110,M21637,en/oxford-collegeblock-100104341-din-a5-kariert-90blatt-M21637
111,M21638,en/oxford-collegeblock-activebook-100101421-din-a4-kariert-90blatt-M21638
112,M21646,en/bic-mehrfarbkugelschreiber-4-colours-831253-0-4mm-bl-sw-r-gn-M21646
113,M21648,en/bic-kugelschreiber-2in1-stylus-919378-0-4mm-schwarz-M21648
114,M21650,en/bic-mehrfarbkugelschreiber-4-colours-stylus-926404-touchpen-M21650
115,M21679,en/hp-kopierpapier-printing-chp210-din-a4-80g-weiss-500-bl-pack-M21679
116,M21680,en/hp-kopierpapier-office-chp110-din-a4-80g-weiss-500-bl-pack-M21680
117,M21681,en/hp-kopierpapier-copy-paper-chp910-din-a4-80g-weiss-500-bl-pack-M21681
118,M21684,en/clairefontaine-collegeblock-forever-recycling-din-a4-M21684
119,M21690,en/clairefontaine-collegeblock-8272c-din-a5-90blatt-M21690
120,M21691,en/clairefontaine-collegeblock-8275c-din-a5-90blatt-M21691
121,M21692,en/clairefontaine-collegeblock-8272c-din-a5-90blatt-kariert-M21692
122,M21693,en/clairefontaine-collegeblock-8275c-din-a5-90blatt-liniert-M21693
123,M21694,en/clairefontaine-kladde-din-a5-90g-96blatt-sortiert-M21694
124,M21703,en/smart-print-kopierpapier-din-60g-weiss-500-bl-pack-M21703
125,M21704,en/clairefontaine-collegeblock-din-a4-80blatt-weiss-M21704
126,M21705,en/clairefontaine-farblaserpapier-dcp-din-160g-el-250-bl-pack-M21705
127,M21708,en/clairefontaine-kladde-din-a6-90g-96blatt-sortiert-M21708
128,M21711,en/clairefontaine-collegeblock-8279c-din-a4-kariert-80blatt-weiss-M21711
129,M21713,en/clairefontaine-kladde-din-a4-90g-96blatt-sortiert-M21713
130,M21714,en/clairefontaine-meetingblock-328000c-din-a4-80blatt-farbig-sortiert-M21714
131,M21715,en/clairefontaine-spiralblock-din-a4-90blatt-M21715
132,M21716,en/clairefontaine-collegeblock-328626c-din-a4-80blatt-kariert-M21716
133,M21717,en/clairefontaine-spiralblock-328725c-17x22mm-50blatt-kariert-M21717
134,M21740,en/rotring-druckbleistift-tikky-rd-1904694-0-35mm-schwarz-M21740
135,M21741,en/rotring-druckbleistift-tikky-rd-1904695-0-5mm-schwarz-M21741
136,M21742,en/rotring-druckbleistift-tikky-rd-1904696-0-7mm-schwarz-M21742
137,M21743,en/rotring-druckbleistift-tikky-rd-1904697-1mm-schwarz-M21743
138,M21744,en/rotring-kugelschreiber-tikky-redesign-m-M21744
139,M21745,en/rotring-druckbleistift-tikky-s0801310-3-st-pack-M21745
140,M21759,en/parker-kugelschreiber-urban-premium-m-mine-blau-M21759
141,M21766,en/papermate-kugelschreiber-inkjoy-700-rt-m-druckmechanik-M21766
142,M21771,en/papermate-kugelschreiber-inkjoy-550-rt-m-druckmechanik-M21771
143,M21772,en/rotring-tuschefueller-rapidograph-s0194270-0-25mm-schwarz-M21772
144,M21773,en/rotring-tuschefueller-rapidograph-rot-M21773
145,M21774,en/rotring-multifunktionsstift-tikky-M21774
146,M21777,en/veloflex-tischflipchart-4101080-din-a4-quer-4ringe-10huellen-schwarz-M21777
147,M21778,en/veloflex-tischflipchart-v4102080-din-a4-hoch-4ringe-10huellen-schwarz-M21778
148,M21779,en/veloflex-tischflipchart-4132280-din-a3-quer-4ringe-10huellen-schwarz-M21779
149,M21903,en/maul-kugelschreiberstaender-10-6x13-8x11-2cm-kunststoff-M21903
150,M22230,en/usb-stick-clip-me-4gb-2-0-M22230
151,M22232,en/xlyne-usb-stick-otg-silber-M22232
152,M22269,en/soennecken-usb-stick-2-0-schwarz-silber-M22269
153,M22293,en/soennecken-notizblock-din-60g-kariert-50blatt-weiss-M22293
154,M22397,en/soennecken-kugelschreiber-3239-nr-300-edelstahl-grossraummine-blau-M22397
155,M22398,en/soennecken-textmarker-2-5mm-keilspitze-M22398
156,M22410,en/soennecken-kopierpapier-star-din-80g-weiss-500-bl-pack-M22410
157,M22411,en/soennecken-kopierpapier-brillant-5800-din-a4-80g-weiss-500-bl-pack-M22411
158,M22412,en/soennecken-kopierpapier-spezial-din-80g-weiss-500-bl-pack-M22412
159,M22432,en/soennecken-kopierpapier-standard-din-80g-weiss-500-bl-pack-M22432
160,M22484,en/soennecken-feinmine-hb-12-st-pack-M22484
161,M226,en/mauser-stahlschrank-mit-fluegeltueren-3-fachboeden-kurz-und-garderobe-M226
162,M22613,en/soennecken-einwegkugelschreiber-nr-1-m-10-st-pack-M22613
163,M22660,en/soennecken-permanentmarker-4mm-rundspitze-M22660
164,M22661,en/soennecken-permanentmarker-4mm-rundspitze-M22661
165,M22662,en/soennecken-permanentmarker-4mm-rundspitze-M22662
166,M22663,en/soennecken-permanentmarker-4mm-rundspitze-M22663
167,M22664,en/soennecken-permanentmarker-1-4mm-keilspitze-M22664
168,M22682,en/soennecken-flipchart-1134-68x105cm-dreibeinstativ-grau-M22682
169,M22796,en/soennecken-druckbleistift-hb-mit-radierer-schwarz-M22796
170,M22797,en/soennecken-kugelschreiber-nr-180-druckmechanik-m-M22797
171,M229,en/mauser-stahlschrank-mit-fluegeltueren-4-fachboeden-t-500-mm-M229
172,M23067,en/kugelschreiberstaender-mod-1-metall-silber-schwarz-M23067
173,M23340,en/sigel-kreidemarker-5-15mm-keilspitze-M23340
174,M23343,en/sigel-kreidemarker-50-gl182-1-5mm-keilspitze-sortiert-3-st-pack-M23343
175,M23345,en/sigel-kreidemarker-50-1-5mm-keilspitze-M23345
176,M23432,en/schneider-druckkugelschreiber-k20-icy-colours-m-0-6mm-M23432
177,M23436,en/schneider-druckkugelschreiber-loox-m-0-6mm-druckmechanik-M23436
178,M23438,en/schneider-druckkugelschreiber-k-3-biosafe-m-0-6mm-M23438
179,M23440,en/schneider-kugelschreiber-slider-m-1mm-kappenmodell-M23440
180,M23441,en/schneider-kugelschreiber-slider-xb-1-4mm-kappenmodell-M23441
